Institute Name,Program Name,State/All India Seats,Seat Pool,OPEN,OPEN-PwD,GEN-EWS,GEN-EWS-PwD,SC,SC-PwD,ST,ST-PwD,OBC-NCL,OBC-NCL-PwD,Total
Indian Institute  of Technology Patna,"B. Tech. (ME) - M. Tech. in Mechatronics (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",All India,Gender-Neutral,3,0,1,0,1,0,1,0,2,0,8
Indian Institute  of Technology Patna,"B. Tech. (ME) - M. Tech. in Mechatronics (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",All India,Female-only (including Supernumerary),1,0,0,0,0,0,0,0,1,0,2
Indian Institute  of Technology Roorkee,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,36,2,8,1,13,1,7,0,24,1,93
Indian Institute  of Technology Roorkee,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),9,1,2,0,4,0,2,0,6,0,24
Indian Institute  of Technology Roorkee,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,53,3,13,1,20,1,9,1,36,2,139
Indian Institute  of Technology Roorkee,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),13,1,3,0,6,0,3,0,8,1,35
Indian Institute  of Technology Roorkee,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,33,2,9,0,12,1,7,0,22,1,87
Indian Institute  of Technology Roorkee,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),8,1,2,0,3,0,2,0,6,0,22
Indian Institute  of Technology Roorkee,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,52,2,12,1,20,0,9,1,34,1,132
Indian Institute  of Technology Roorkee,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),12,1,3,0,4,1,3,0,8,1,33
Indian Institute  of Technology Roorkee,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,33,2,9,0,12,1,7,0,22,1,87
Indian Institute  of Technology Roorkee,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),9,0,1,1,3,0,2,0,6,0,22
Indian Institute  of Technology Roorkee,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Gender-Neutral,15,1,4,0,6,0,3,0,10,1,40
Indian Institute  of Technology Roorkee,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),3,1,1,0,2,0,0,0,3,0,10
Indian Institute  of Technology Roorkee,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,47,2,11,1,17,1,9,0,31,1,120
Indian Institute  of Technology Roorkee,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),11,1,3,0,5,0,2,0,7,1,30
Indian Institute  of Technology Roorkee,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,25,1,6,0,10,0,5,0,17,1,65
Indian Institute  of Technology Roorkee,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),7,0,2,0,1,1,0,1,4,1,17
Indian Institute  of Technology Roorkee,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,18,1,4,0,6,1,3,0,12,1,46
Indian Institute  of Technology Roorkee,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),5,0,1,0,2,0,1,0,3,0,12
Indian Institute  of Technology Roorkee,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,5,0,1,1,9,0,32
Indian Institute  of Technology Roorkee,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,8
Indian Institute  of Technology Roorkee,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,13,1,4,0,5,0,3,0,9,1,36
Indian Institute  of Technology Roorkee,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),4,0,1,0,1,0,1,0,3,0,10
Indian Institute  of Technology Roorkee,"Architecture  (5 Years, Bachelor of Architecture)",All India,Gender-Neutral,8,1,2,0,3,0,2,0,6,1,23
Indian Institute  of Technology Roorkee,"Architecture  (5 Years, Bachelor of Architecture)",All India,Female-only (including Supernumerary),3,0,1,0,1,0,0,0,2,0,7
Indian Institute  of Technology Roorkee,"Geological Technology (5 Years, Integrated Master of Technology)",All India,Gender-Neutral,12,1,3,0,4,0,2,0,7,1,30
Indian Institute  of Technology Roorkee,"Geological Technology (5 Years, Integrated Master of Technology)",All India,Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,8
Indian Institute  of Technology Roorkee,"Geophysical Technology (5 Years, Integrated Master of Technology)",All India,Gender-Neutral,12,1,3,0,5,0,3,0,7,1,32
Indian Institute  of Technology Roorkee,"Geophysical Technology (5 Years, Integrated Master of Technology)",All India,Female-only (including Supernumerary),4,0,1,0,1,0,1,0,2,0,9
Indian Institute  of Technology Roorkee,"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",All India,Gender-Neutral,9,0,2,0,2,1,1,0,6,0,21
Indian Institute  of Technology Roorkee,"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",All India,Female-only (including Supernumerary),2,0,1,0,1,0,0,0,2,0,6
Indian Institute  of Technology Roorkee,"Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree))",All India,Gender-Neutral,15,1,4,0,6,0,3,0,9,1,39
Indian Institute  of Technology Roorkee,"Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree))",All India,Female-only (including Supernumerary),4,0,1,0,1,0,1,0,3,0,10
Indian Institute  of Technology Roorkee,"Chemical Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))",All India,Gender-Neutral,11,0,2,1,3,1,2,0,8,0,28
Indian Institute  of Technology Roorkee,"Chemical Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))",All India,Female-only (including Supernumerary),3,0,1,0,1,0,0,0,2,0,7
Indian Institute  of Technology Roorkee,"Economics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",All India,Gender-Neutral,10,0,3,0,4,0,1,1,7,0,26
Indian Institute  of Technology Roorkee,"Economics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",All India,Female-only (including Supernumerary),3,0,1,0,1,0,0,0,2,0,7
Indian Institute  of Technology (ISM) Dhanbad,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,17,1,4,0,6,1,3,0,11,1,44
Indian Institute  of Technology (ISM) Dhanbad,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),4,1,1,0,1,0,1,0,3,0,11
Indian Institute  of Technology (ISM) Dhanbad,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,21,1,5,1,7,1,4,0,14,1,55
Indian Institute  of Technology (ISM) Dhanbad,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),5,1,1,0,2,0,1,0,4,0,14
Indian Institute  of Technology (ISM) Dhanbad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,42,3,10,1,15,1,8,1,28,2,111
Indian Institute  of Technology (ISM) Dhanbad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),10,1,3,0,4,0,2,0,7,1,28
Indian Institute  of Technology (ISM) Dhanbad,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,37,2,9,1,14,1,7,1,25,1,98
Indian Institute  of Technology (ISM) Dhanbad,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),9,1,2,0,4,0,2,0,6,1,25
Indian Institute  of Technology (ISM) Dhanbad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,38,2,9,1,14,1,7,1,25,1,99
Indian Institute  of Technology (ISM) Dhanbad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),10,1,2,0,4,0,2,0,6,0,25
Indian Institute  of Technology (ISM) Dhanbad,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Gender-Neutral,10,1,2,0,4,0,2,0,6,0,25
Indian Institute  of Technology (ISM) Dhanbad,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),2,0,1,0,1,0,0,0,2,0,6
Indian Institute  of Technology (ISM) Dhanbad,"Environmental Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,15,1,4,0,5,0,3,0,9,1,38
Indian Institute  of Technology (ISM) Dhanbad,"Environmental Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),4,0,1,0,1,0,1,0,3,0,10
Indian Institute  of Technology (ISM) Dhanbad,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,40,2,9,1,15,1,7,1,27,2,105
Indian Institute  of Technology (ISM) Dhanbad,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),10,1,2,0,4,0,2,0,6,1,26
Indian Institute  of Technology (ISM) Dhanbad,"Mining Engineering  (4 Years, Bachelor of Technology)",All India,Gender-Neutral,38,0,10,0,14,0,7,0,25,0,94
Indian Institute  of Technology (ISM) Dhanbad,"Mining Engineering  (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),9,0,2,0,4,0,2,0,6,0,23
Indian Institute  of Technology (ISM) Dhanbad,"Mining Machinery Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,18,0,5,0,7,0,3,0,12,0,45
Indian Institute  of Technology (ISM) Dhanbad,"Mining Machinery Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),4,0,1,0,2,0,1,0,3,0,11
Indian Institute  of Technology (ISM) Dhanbad,"Petroleum Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,28,1,7,0,10,1,5,0,19,1,72
Indian Institute  of Technology (ISM) Dhanbad,"Petroleum Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),7,0,2,0,3,0,1,0,5,0,18
Indian Institute  of Technology (ISM) Dhanbad,"Mineral and Metallurgical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,14,1,3,0,5,0,3,0,9,1,36
Indian Institute  of Technology (ISM) Dhanbad,"Mineral and Metallurgical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),3,1,1,0,1,0,1,0,2,0,9
Indian Institute  of Technology (ISM) Dhanbad,"Mathematics and Computing (5 Years, Integrated Master of Technology)",All India,Gender-Neutral,17,1,4,0,6,1,3,0,11,1,44
Indian Institute  of Technology (ISM) Dhanbad,"Mathematics and Computing (5 Years, Integrated Master of Technology)",All India,Female-only (including Supernumerary),4,1,1,0,1,0,1,0,3,0,11
Indian Institute  of Technology (ISM) Dhanbad,"Applied Geology (5 Years, Integrated Master of Technology)",All India,Gender-Neutral,7,0,2,0,2,0,1,0,5,0,17
Indian Institute  of Technology (ISM) Dhanbad,"Applied Geology (5 Years, Integrated Master of Technology)",All India,Female-only (including Supernumerary),1,0,1,0,1,0,0,0,1,0,4
Indian Institute  of Technology (ISM) Dhanbad,"Applied Geophysics (5 Years, Integrated Master of Technology)",All India,Gender-Neutral,7,0,2,0,2,0,1,0,5,0,17
Indian Institute  of Technology (ISM) Dhanbad,"Applied Geophysics (5 Years, Integrated Master of Technology)",All India,Female-only (including Supernumerary),1,0,1,0,1,0,0,0,1,0,4
Indian Institute  of Technology Ropar,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,11,1,3,0,4,0,2,0,6,1,28
Indian Institute  of Technology Ropar,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),2,0,1,0,1,0,1,0,2,0,7
Indian Institute  of Technology Ropar,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,0,3,0,4,0,1,1,6,1,28
Indian Institute  of Technology Ropar,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),2,0,1,0,1,0,1,0,2,0,7
Indian Institute  of Technology Ropar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,25,2,5,1,9,1,5,0,18,1,67
Indian Institute  of Technology Ropar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),7,0,2,0,3,0,1,0,4,0,17
Indian Institute  of Technology Ropar,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,25,2,6,0,11,0,4,1,17,1,67
Indian Institute  of Technology Ropar,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),7,0,2,0,2,0,1,0,5,0,17
Indian Institute  of Technology Ropar,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Gender-Neutral,6,0,3,0,2,1,2,0,6,0,20
Indian Institute  of Technology Ropar,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),3,0,0,0,1,0,0,0,1,0,5
Indian Institute  of Technology Ropar,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,6,0,2,0,2,0,2,0,4,0,16
Indian Institute  of Technology Ropar,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),2,0,0,0,1,0,0,0,1,0,4
Indian Institute  of Technology Ropar,"Mathematics and Computing (4 Years, Bachelor of Technology)",All India,Gender-Neutral,10,1,3,0,3,1,2,0,9,0,29
Indian Institute  of Technology Ropar,"Mathematics and Computing (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),3,0,1,0,1,0,1,0,1,0,7
Indian Institute  of Technology Ropar,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,27,1,6,1,9,0,5,0,16,2,67
Indian Institute  of Technology Ropar,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),7,0,1,0,3,0,1,0,4,0,16
Indian Institute  of Technology Ropar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,9,1,2,0,3,0,1,0,6,0,22
Indian Institute  of Technology Ropar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),2,0,0,0,1,0,1,0,2,0,6
Indian Institute  of Technology (BHU) Varanasi,"Ceramic Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,23,2,6,0,9,1,4,0,15,1,61
Indian Institute  of Technology (BHU) Varanasi,"Ceramic Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),6,0,1,0,2,0,1,0,4,0,14
Indian Institute  of Technology (BHU) Varanasi,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,48,2,12,1,18,0,9,1,32,1,124
Indian Institute  of Technology (BHU) Varanasi,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),12,1,3,0,4,1,2,0,8,1,32
Indian Institute  of Technology (BHU) Varanasi,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,37,2,9,1,14,1,7,0,25,2,98
Indian Institute  of Technology (BHU) Varanasi,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),9,0,2,0,3,0,2,0,6,0,22
Indian Institute  of Technology (BHU) Varanasi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,31,2,7,0,11,1,6,1,20,1,80
Indian Institute  of Technology (BHU) Varanasi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),8,0,2,0,3,0,1,0,5,0,19
Indian Institute  of Technology (BHU) Varanasi,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,35,2,9,0,13,1,6,0,24,2,92
Indian Institute  of Technology (BHU) Varanasi,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),9,0,2,0,3,0,2,1,6,0,23
Indian Institute  of Technology (BHU) Varanasi,"Electronics Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,41,2,10,1,15,0,7,1,27,1,105
Indian Institute  of Technology (BHU) Varanasi,"Electronics Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),10,1,3,0,4,0,2,0,7,1,28
Indian Institute  of Technology (BHU) Varanasi,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,46,2,11,1,17,1,9,0,30,1,118
Indian Institute  of Technology (BHU) Varanasi,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),11,1,3,0,4,0,2,0,8,1,30
Indian Institute  of Technology (BHU) Varanasi,"Metallurgical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,33,2,8,0,12,1,6,0,22,1,85
Indian Institute  of Technology (BHU) Varanasi,"Metallurgical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),8,0,2,1,3,0,2,0,5,0,21
Indian Institute  of Technology (BHU) Varanasi,"Mining Engineering  (4 Years, Bachelor of Technology)",All India,Gender-Neutral,42,0,11,0,16,0,7,0,29,0,105
Indian Institute  of Technology (BHU) Varanasi,"Mining Engineering  (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),11,0,2,0,4,0,2,0,7,0,26
Indian Institute  of Technology (BHU) Varanasi,"Pharmaceutical Engineering & Technology (4 Years, Bachelor of Technology)",All India,Gender-Neutral,25,2,6,0,9,1,5,0,16,1,65
Indian Institute  of Technology (BHU) Varanasi,"Pharmaceutical Engineering & Technology (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),6,0,2,0,2,0,1,0,4,0,15
Indian Institute  of Technology (BHU) Varanasi,"Architecture  (5 Years, Bachelor of Architecture)",All India,Gender-Neutral,8,1,2,0,3,0,2,0,5,0,21
Indian Institute  of Technology (BHU) Varanasi,"Architecture  (5 Years, Bachelor of Architecture)",All India,Female-only (including Supernumerary),2,0,0,0,1,0,0,0,2,0,5
Indian Institute  of Technology (BHU) Varanasi,"Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,7,1,2,0,3,0,2,0,5,1,21
Indian Institute  of Technology (BHU) Varanasi,"Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),2,0,0,0,1,0,0,0,1,0,4
Indian Institute  of Technology (BHU) Varanasi,"Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,6,1,2,0,2,1,1,0,4,0,17
Indian Institute  of Technology (BHU) Varanasi,"Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),2,0,0,0,1,0,0,0,1,0,4
Indian Institute  of Technology (BHU) Varanasi,"Ceramic Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,6,0,2,0,2,0,1,0,4,1,16
Indian Institute  of Technology (BHU) Varanasi,"Ceramic Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),2,0,0,0,1,0,0,0,1,0,4
Indian Institute  of Technology (BHU) Varanasi,"Civil Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,10,0,2,0,3,1,2,0,6,0,24
Indian Institute  of Technology (BHU) Varanasi,"Civil Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),2,0,1,0,1,0,0,0,2,0,6
Indian Institute  of Technology (BHU) Varanasi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,10,0,2,0,4,0,2,0,7,1,26
Indian Institute  of Technology (BHU) Varanasi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,8
Indian Institute  of Technology (BHU) Varanasi,"Electrical Engineering with M.Tech. in Power Electronics (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,10,0,2,0,4,0,1,0,6,0,23
Indian Institute  of Technology (BHU) Varanasi,"Electrical Engineering with M.Tech. in Power Electronics (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),2,0,1,0,1,0,1,0,2,0,7
Indian Institute  of Technology (BHU) Varanasi,"Materials Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,9,1,2,0,3,0,1,0,6,0,22
Indian Institute  of Technology (BHU) Varanasi,"Materials Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),2,0,1,0,1,1,0,0,1,0,6
Indian Institute  of Technology (BHU) Varanasi,"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,10,1,2,0,4,0,1,1,6,1,26
Indian Institute  of Technology (BHU) Varanasi,"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),2,0,1,0,0,0,1,0,2,0,6
Indian Institute  of Technology (BHU) Varanasi,"Metallurgical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,9,0,2,1,3,0,2,0,6,0,23
Indian Institute  of Technology (BHU) Varanasi,"Metallurgical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),2,0,1,0,1,0,0,0,1,0,5
Indian Institute  of Technology (BHU) Varanasi,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,10,0,2,0,4,0,1,0,6,0,23
Indian Institute  of Technology (BHU) Varanasi,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),3,0,0,0,1,0,1,0,2,0,7
Indian Institute  of Technology (BHU) Varanasi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,16,1,4,1,6,0,3,0,10,0,41
Indian Institute  of Technology (BHU) Varanasi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),4,0,1,0,1,0,1,0,3,1,11
Indian Institute  of Technology (BHU) Varanasi,"Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,9,1,2,0,3,0,2,0,6,0,23
Indian Institute  of Technology (BHU) Varanasi,"Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),2,0,1,0,1,0,0,0,1,0,5
Indian Institute  of Technology (BHU) Varanasi,"Industrial Chemistry (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,6,0,2,0,2,0,2,0,4,0,16
Indian Institute  of Technology (BHU) Varanasi,"Industrial Chemistry (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),2,1,0,0,1,0,0,0,1,0,5
Indian Institute  of Technology (BHU) Varanasi,"Pharmaceutical Engineering & Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,6,0,2,0,2,0,2,0,4,0,16
Indian Institute  of Technology (BHU) Varanasi,"Pharmaceutical Engineering & Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),2,1,0,0,1,0,0,0,1,0,5
Indian Institute  of Technology Guwahati,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,29,2,8,0,10,1,6,0,20,1,77
Indian Institute  of Technology Guwahati,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),8,0,2,0,2,1,2,0,5,0,20
Indian Institute  of Technology Guwahati,"Chemical Science and Technology (4 Years, Bachelor of Technology)",All India,Gender-Neutral,20,1,5,0,8,0,3,1,13,1,52
Indian Institute  of Technology Guwahati,"Chemical Science and Technology (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),5,0,1,0,2,0,1,0,3,1,13
Indian Institute  of Technology Guwahati,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,35,2,9,0,13,1,8,0,23,2,93
Indian Institute  of Technology Guwahati,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),10,0,2,0,3,1,2,0,6,0,24
Indian Institute  of Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,35,2,9,0,13,1,7,0,22,2,91
Indian Institute  of Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),9,0,2,0,3,1,2,0,6,0,23
Indian Institute  of Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,32,2,8,0,12,1,6,0,21,1,83
Indian Institute  of Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),9,0,2,0,2,1,1,0,6,0,21
Indian Institute  of Technology Guwahati,"Electronics and Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,19,1,5,0,7,0,4,0,12,1,49
Indian Institute  of Technology Guwahati,"Electronics and Electrical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),4,1,1,0,2,0,1,0,4,0,13
Indian Institute  of Technology Guwahati,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Gender-Neutral,21,1,5,0,8,0,4,0,14,1,54
Indian Institute  of Technology Guwahati,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),6,0,1,0,2,0,1,0,3,1,14
Indian Institute  of Technology Guwahati,"Mathematics and Computing (4 Years, Bachelor of Technology)",All India,Gender-Neutral,22,1,6,0,9,0,3,1,15,0,57
Indian Institute  of Technology Guwahati,"Mathematics and Computing (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),5,1,2,0,2,0,1,0,4,0,15
Indian Institute  of Technology Guwahati,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,36,2,10,0,13,1,7,0,25,1,95
Indian Institute  of Technology Guwahati,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),9,1,2,1,3,0,2,0,6,0,24
Indian Institute  of Technology Guwahati,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",All India,Gender-Neutral,10,0,2,0,3,1,2,0,6,0,24
Indian Institute  of Technology Guwahati,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),2,0,1,0,1,0,0,0,2,0,6
Indian Institute  of Technology Guwahati,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,26,1,7,0,9,1,5,0,17,1,67
Indian Institute  of Technology Guwahati,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),6,0,2,0,2,1,1,0,5,0,17
Indian Institute  of Technology Guwahati,"Energy Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,7,0,2,0,2,0,1,0,3,1,16
Indian Institute  of Technology Guwahati,"Energy Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),2,0,0,0,1,0,0,0,1,0,4
Indian Institute of Technology Bhilai,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,17,1,4,0,7,0,3,0,12,0,44
